name,formula,category,equation_type,coeffs,tier,Tmin_K,Tmax_K,molar_mass_gmol,unit,source,note
Duralumin (2024-T3),-,Metals & Alloys,linear,"{""c0"": 0.875, ""c1"": 0.00015}",3,298.0,900.0,,specific,"Typical room-T specific heat, MatWeb / ASM Metals Handbook Vol.2 (representative single value) - mild linear rise assumed above RT",Alloy - composition-dependent; treat as approximate.
Al-Si Casting Alloy (A356),-,Metals & Alloys,linear,"{""c0"": 0.963, ""c1"": 0.00015}",3,298.0,900.0,,specific,"Typical room-T specific heat, MatWeb / ASM Metals Handbook Vol.2 (representative single value) - mild linear rise assumed above RT",Alloy - composition-dependent; treat as approximate.
Aluminium Oxide (Corundum),Al2O3,Ceramics,kelley,"{""a"": 106.6, ""b"": 17.78, ""c"": -28.53}",2,298.0,1800.0,101.96,molar,"Kelley eqn., Kubaschewski & Alcock - cross-checked vs Cp(298K)=79.0 J/mol.K",
Magnesium Oxide (Periclase),MgO,Ceramics,kelley,"{""a"": 42.59, ""b"": 7.28, ""c"": -6.19}",2,298.0,2000.0,40.3,molar,"Kelley eqn., Kubaschewski & Alcock - cross-checked vs Cp(298K)=37.4 J/mol.K",
Silicon Dioxide (alpha-Quartz),SiO2,Ceramics,kelley,"{""a"": 46.94, ""b"": 34.31, ""c"": -11.3}",2,298.0,848.0,60.084,molar,"Kelley eqn., Kubaschewski & Alcock - cross-checked vs Cp(298K)=44.4 J/mol.K",848K = alpha-beta quartz inversion (Tmax = phase-transition warning point).
Calcium Oxide (Lime),CaO,Ceramics,kelley,"{""a"": 41.84, ""b"": 20.29, ""c"": -4.52}",2,298.0,1800.0,56.077,molar,"Kelley eqn., Kubaschewski & Alcock - cross-checked vs Cp(298K)=42.0 J/mol.K",
Zirconium Dioxide (Zirconia),ZrO2,Ceramics,kelley,"{""a"": 69.62, ""b"": 7.53, ""c"": -14.06}",2,298.0,1478.0,123.22,molar,"Kelley eqn., Kubaschewski & Alcock - cross-checked vs Cp(298K)=56.2 J/mol.K",1478K = monoclinic-tetragonal inversion.
Titanium Dioxide (Rutile),TiO2,Ceramics,kelley,"{""a"": 75.19, ""b"": 1.17, ""c"": -18.2}",2,298.0,1800.0,79.87,molar,"Kelley eqn., Kubaschewski & Alcock - cross-checked vs Cp(298K)=55.0 J/mol.K",
Iron(III) Oxide (Hematite),Fe2O3,Ceramics,kelley,"{""a"": 98.28, ""b"": 77.82, ""c"": -14.85}",2,298.0,950.0,159.69,molar,"Kelley eqn., Kubaschewski & Alcock - cross-checked vs Cp(298K)=103.9 J/mol.K",
Chromium(III) Oxide,Cr2O3,Ceramics,linear,"{""c0"": 120.0, ""c1"": 0.018}",3,298.0,1200.0,151.99,molar,"Anchor Cp(298K)=120 J/mol.K; remembered Kelley coefficients failed cross-check, replaced with anchor model",
Nickel(II) Oxide,NiO,Ceramics,linear,"{""c0"": 44.3, ""c1"": 0.008}",3,298.0,1200.0,74.69,molar,Anchor Cp(298K)=44.3 J/mol.K; anchor model - verify before submission,
Copper(II) Oxide,CuO,Ceramics,linear,"{""c0"": 42.3, ""c1"": 0.01}",3,298.0,1300.0,79.545,molar,Anchor Cp(298K)=42.3 J/mol.K; anchor model - verify before submission,
Boron Nitride (hexagonal),BN,Ceramics,linear,"{""c0"": 19.7, ""c1"": 0.01}",3,298.0,1800.0,24.82,molar,Anchor Cp(298K)=19.7 J/mol.K (CRC Handbook-typical); anchor model,
Diboron Trioxide,B2O3,Ceramics,linear,"{""c0"": 62.8, ""c1"": 0.02}",3,298.0,723.0,69.62,molar,Anchor Cp(298K)~62.8 J/mol.K; anchor model,
Silicon Nitride,Si3N4,Ceramics,const,"{""c0"": 0.71}",3,298.0,1500.0,,specific,"Typical engineering Cp, MatWeb/AZoM (near-constant approx near RT)",
Mullite,3Al2O3.2SiO2,Ceramics,linear,"{""c0"": 0.79, ""c1"": 0.0002}",3,298.0,1800.0,,specific,"Typical refractory-ceramics handbook value, representative linear rise",
Silicon,Si,Semiconductors,kelley,"{""a"": 23.93, ""b"": 2.29, ""c"": -3.55}",2,298.0,1685.0,28.085,molar,"Kelley/JANAF-type eqn. cross-checked vs Cp(298K)=20.0 J/mol.K (Desai, C.C., J. Phys. Chem. Ref. Data 1986)",
Germanium,Ge,Semiconductors,linear,"{""c0"": 23.4, ""c1"": 0.004}",3,298.0,1210.0,72.63,molar,Anchor Cp(298K)=23.4 J/mol.K; anchor model,
Silicon Carbide (semiconductor grade),SiC,Semiconductors,linear,"{""c0"": 26.9, ""c1"": 0.006}",3,298.0,3100.0,40.1,molar,"Anchor Cp(298K)=26.9 J/mol.K; remembered Kelley coefficients failed cross-check, replaced with anchor model",
Gallium Arsenide,GaAs,Semiconductors,linear,"{""c0"": 47.0, ""c1"": 0.003}",3,298.0,1511.0,144.64,molar,Anchor Cp(298K)~47 J/mol.K (representative); verify before submission,
Gallium Nitride,GaN,Semiconductors,linear,"{""c0"": 35.3, ""c1"": 0.004}",3,298.0,2500.0,83.73,molar,Anchor Cp(298K)~35.3 J/mol.K (representative); verify before submission,
Indium Phosphide,InP,Semiconductors,linear,"{""c0"": 46.8, ""c1"": 0.003}",3,298.0,1335.0,145.79,molar,Anchor Cp(298K)~46.8 J/mol.K (representative); verify before submission,
Cadmium Telluride,CdTe,Semiconductors,linear,"{""c0"": 49.6, ""c1"": 0.003}",3,298.0,1365.0,240.01,molar,Anchor Cp(298K)~49.6 J/mol.K (representative); verify before submission,
Gallium,Ga,Semiconductors,linear,"{""c0"": 25.86, ""c1"": 0.002}",3,298.0,303.0,69.72,molar,"Anchor Cp(298K)=25.86 J/mol.K (elemental Ga, low-melting semiconducting-industry metal)",
High-Density Polyethylene,HDPE,Polymers,linear,"{""c0"": 2.3, ""c1"": 0.003}",2,200.0,393.0,,specific,Room/near-RT specific heat from Mark's Polymer Data Handbook / ATHAS Databank (Wunderlich group) typical values; linear trend representative of solid-state behaviour below melt/Tg,
Low-Density Polyethylene,LDPE,Polymers,linear,"{""c0"": 2.3, ""c1"": 0.003}",2,200.0,373.0,,specific,Room/near-RT specific heat from Mark's Polymer Data Handbook / ATHAS Databank (Wunderlich group) typical values; linear trend representative of solid-state behaviour below melt/Tg,
Polypropylene,PP,Polymers,linear,"{""c0"": 1.85, ""c1"": 0.0035}",2,250.0,438.0,,specific,Room/near-RT specific heat from Mark's Polymer Data Handbook / ATHAS Databank (Wunderlich group) typical values; linear trend representative of solid-state behaviour below melt/Tg,
Polystyrene,PS,Polymers,linear,"{""c0"": 1.2, ""c1"": 0.0025}",2,250.0,400.0,,specific,Room/near-RT specific heat from Mark's Polymer Data Handbook / ATHAS Databank (Wunderlich group) typical values; linear trend representative of solid-state behaviour below melt/Tg,
Poly(methyl methacrylate),PMMA,Polymers,linear,"{""c0"": 1.42, ""c1"": 0.0022}",2,250.0,400.0,,specific,Room/near-RT specific heat from Mark's Polymer Data Handbook / ATHAS Databank (Wunderlich group) typical values; linear trend representative of solid-state behaviour below melt/Tg,
Polyvinyl Chloride,PVC,Polymers,linear,"{""c0"": 1.0, ""c1"": 0.002}",2,250.0,355.0,,specific,Room/near-RT specific heat from Mark's Polymer Data Handbook / ATHAS Databank (Wunderlich group) typical values; linear trend representative of solid-state behaviour below melt/Tg,
Polytetrafluoroethylene (Teflon),PTFE,Polymers,linear,"{""c0"": 1.0, ""c1"": 0.0022}",2,220.0,600.0,,specific,Room/near-RT specific heat from Mark's Polymer Data Handbook / ATHAS Databank (Wunderlich group) typical values; linear trend representative of solid-state behaviour below melt/Tg,
Nylon 6 (Polyamide),PA6,Polymers,linear,"{""c0"": 1.7, ""c1"": 0.0028}",2,250.0,495.0,,specific,Room/near-RT specific heat from Mark's Polymer Data Handbook / ATHAS Databank (Wunderlich group) typical values; linear trend representative of solid-state behaviour below melt/Tg,
Polycarbonate,PC,Polymers,linear,"{""c0"": 1.2, ""c1"": 0.0025}",2,250.0,425.0,,specific,Room/near-RT specific heat from Mark's Polymer Data Handbook / ATHAS Databank (Wunderlich group) typical values; linear trend representative of solid-state behaviour below melt/Tg,
Polyethylene Terephthalate,PET,Polymers,linear,"{""c0"": 1.0, ""c1"": 0.0025}",2,250.0,523.0,,specific,Room/near-RT specific heat from Mark's Polymer Data Handbook / ATHAS Databank (Wunderlich group) typical values; linear trend representative of solid-state behaviour below melt/Tg,
Epoxy Resin (cured),Epoxy,Polymers,linear,"{""c0"": 1.25, ""c1"": 0.002}",2,250.0,420.0,,specific,Room/near-RT specific heat from Mark's Polymer Data Handbook / ATHAS Databank (Wunderlich group) typical values; linear trend representative of solid-state behaviour below melt/Tg,
Fused Silica (vitreous SiO2),SiO2 (amorphous),Glasses,linear,"{""c0"": 0.74, ""c1"": 0.0004}",2,293.0,1300.0,,specific,"Corning HPFS / NIST typical values, room-T anchor + representative rising trend",
Soda-Lime Glass,Na2O.CaO.6SiO2 (approx),Glasses,linear,"{""c0"": 0.84, ""c1"": 0.0006}",2,293.0,900.0,,specific,Typical container/float-glass handbook value (e.g. Corning/PPG data sheets),
Borosilicate Glass (Pyrex-type),B2O3-SiO2-Na2O-Al2O3,Glasses,linear,"{""c0"": 0.8, ""c1"": 0.00045}",2,293.0,800.0,,specific,Corning 7740-type data sheet typical value,
Aluminosilicate Glass,Al2O3-SiO2-CaO-MgO,Glasses,linear,"{""c0"": 0.8, ""c1"": 0.0005}",3,293.0,900.0,,specific,Representative display/cover-glass value (AZoM/Corning-type),
Fireclay Brick,aluminosilicate refractory,Refractories,linear,"{""c0"": 0.96, ""c1"": 0.0003}",3,293.0,1700.0,,specific,Typical refractory-engineering handbook value (ASM/Engineering Toolbox),
Magnesia-Chrome Brick,MgO-Cr2O3,Refractories,linear,"{""c0"": 0.84, ""c1"": 0.00025}",3,293.0,2000.0,,specific,Typical refractory-engineering handbook value,
Zirconia Refractory,ZrO2 (stabilized),Refractories,linear,"{""c0"": 0.46, ""c1"": 0.00012}",3,293.0,2200.0,,specific,Typical refractory-engineering handbook value,
Silicon Carbide Refractory,SiC (bonded),Refractories,linear,"{""c0"": 0.67, ""c1"": 0.0002}",3,293.0,2000.0,,specific,Typical refractory-engineering handbook value,
Graphite Refractory,C (isotropic),Refractories,kelley,"{""a"": 17.15, ""b"": 4.27, ""c"": -8.79}",2,298.0,2300.0,12.011,molar,Same Kelley eqn. as graphite entry above - Kubaschewski & Alcock,
Fused Magnesite (Dead-Burned MgO),MgO (refractory grade),Refractories,kelley,"{""a"": 42.59, ""b"": 7.28, ""c"": -6.19}",2,298.0,2400.0,40.3,molar,Same Kelley eqn. as MgO ceramic entry - Kubaschewski & Alcock,
"Carbon Fibre Reinforced Polymer (CFRP, 60% fibre)",C-fibre/epoxy,Composites,const,"{""c0"": 0.88}",3,250.0,450.0,,specific,"Kopp-Neumann (mass) rule of mixtures: 0.60x0.71 (carbon fibre, ASM Handbook Vol.21) + 0.40x1.20 (epoxy) = 0.90; rounded, representative",
"Glass Fibre Reinforced Polymer (GFRP, 60% fibre)",E-glass/epoxy,Composites,const,"{""c0"": 0.98}",3,250.0,450.0,,specific,Rule of mixtures: 0.60x0.84 (E-glass fibre) + 0.40x1.20 (epoxy) = 0.98 - ASM Handbook Vol.21 methodology,
Aluminium-SiC Metal Matrix Composite (20 vol% SiC),Al/SiCp,Composites,const,"{""c0"": 0.85}",3,293.0,800.0,,specific,"Rule of mixtures: ~0.80xAl(0.90) + 0.20xSiC(0.67) - ASM Handbook Vol.21, Composites",
WC-Co Cemented Carbide (90WC-10Co),WC-Co,Composites,const,"{""c0"": 0.22}",3,293.0,1200.0,,specific,"Rule of mixtures: 0.90xWC(0.20) + 0.10xCo(0.42) - ASM Handbook, Powder Metallurgy",
"Kevlar Fibre Reinforced Polymer (KFRP, 60% fibre)",Aramid/epoxy,Composites,const,"{""c0"": 1.05}",3,250.0,450.0,,specific,"Rule of mixtures: 0.60xKevlar(1.42, DuPont data) + 0.40xepoxy(1.20)",
Carbon-Carbon Composite,C/C,Composites,kelley,"{""a"": 17.15, ""b"": 4.27, ""c"": -8.79}",3,298.0,2300.0,12.011,molar,Approximated as graphite-matrix Kelley eqn.; real C/C Cp is layup/porosity dependent - representative only,
Diamond,C (cubic),Other,linear,"{""c0"": 6.11, ""c1"": 0.0033}",2,298.0,1200.0,12.011,molar,"Cp(298K)=6.11 J/mol.K is a classic, widely-cited value (very high Debye temperature -> anomalously low RT Cp)","Great contrast case vs graphite for a 'same element, different Cp' teaching point."
Sodium Chloride (Rock Salt),NaCl,Other,kelley,"{""a"": 45.94, ""b"": 16.32, ""c"": 0}",2,298.0,1074.0,58.44,molar,"Kelley eqn., Kubaschewski & Alcock - cross-checked vs Cp(298K)=50.5 J/mol.K",
Water Ice (Ih),H2O(s),Other,const,"{""c0"": 2.05}",2,240.0,273.0,,specific,Well-established value at 273K (CRC Handbook),Valid only below the melting point - good demo of the out-of-range warning.
Silica Aerogel,SiO2 (aerogel),Other,const,"{""c0"": 0.84}",3,250.0,900.0,,specific,Representative literature value (highly porosity-dependent) - Aerogel Technologies data sheet-type figure,
Boron,B,Other,linear,"{""c0"": 11.09, ""c1"": 0.006}",3,298.0,2350.0,10.811,molar,Anchor Cp(298K)=11.09 J/mol.K,
Beryllium Oxide,BeO,Other,kelley,"{""a"": 27.2, ""b"": 6.16, ""c"": -7.03}",3,298.0,1800.0,25.01,molar,Kelley-form estimate anchored to Cp(298K)~25.6 J/mol.K - verify against NIST-JANAF before submission,
"Tin (white, beta)",Sn,Metals & Alloys,linear,"{""c0"": 27.0, ""c1"": 0.004}",3,298.0,505.0,118.71,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
"Cobalt (alpha, hcp)",Co,Metals & Alloys,linear,"{""c0"": 24.8, ""c1"": 0.004}",3,298.0,700.0,58.933,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Cadmium,Cd,Metals & Alloys,linear,"{""c0"": 26.0, ""c1"": 0.004}",3,298.0,594.0,112.41,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Antimony,Sb,Metals & Alloys,linear,"{""c0"": 25.2, ""c1"": 0.003}",3,298.0,800.0,121.76,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Bismuth,Bi,Metals & Alloys,linear,"{""c0"": 25.5, ""c1"": 0.004}",3,298.0,544.0,208.98,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Niobium,Nb,Metals & Alloys,linear,"{""c0"": 24.6, ""c1"": 0.002}",3,298.0,1500.0,92.906,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Tantalum,Ta,Metals & Alloys,linear,"{""c0"": 25.4, ""c1"": 0.002}",3,298.0,1500.0,180.95,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Vanadium,V,Metals & Alloys,linear,"{""c0"": 24.9, ""c1"": 0.003}",3,298.0,1500.0,50.942,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Zirconium,Zr,Metals & Alloys,linear,"{""c0"": 25.4, ""c1"": 0.003}",3,298.0,1000.0,91.224,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Platinum,Pt,Metals & Alloys,linear,"{""c0"": 25.9, ""c1"": 0.002}",3,298.0,1500.0,195.08,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Palladium,Pd,Metals & Alloys,linear,"{""c0"": 25.9, ""c1"": 0.003}",3,298.0,1300.0,106.42,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Rhodium,Rh,Metals & Alloys,linear,"{""c0"": 24.98, ""c1"": 0.002}",3,298.0,1500.0,102.91,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Iridium,Ir,Metals & Alloys,linear,"{""c0"": 25.1, ""c1"": 0.002}",3,298.0,1500.0,192.22,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Indium,In,Metals & Alloys,linear,"{""c0"": 26.7, ""c1"": 0.004}",3,298.0,429.0,114.82,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Thallium,Tl,Metals & Alloys,linear,"{""c0"": 26.3, ""c1"": 0.004}",3,298.0,500.0,204.38,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Beryllium,Be,Metals & Alloys,linear,"{""c0"": 16.4, ""c1"": 0.006}",3,298.0,900.0,9.012,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Lithium,Li,Metals & Alloys,linear,"{""c0"": 24.8, ""c1"": 0.004}",3,298.0,453.0,6.94,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Sodium,Na,Metals & Alloys,linear,"{""c0"": 28.2, ""c1"": 0.004}",3,298.0,370.0,22.99,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Potassium,K,Metals & Alloys,linear,"{""c0"": 29.6, ""c1"": 0.004}",3,298.0,336.0,39.098,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Calcium,Ca,Metals & Alloys,linear,"{""c0"": 25.9, ""c1"": 0.003}",3,298.0,1000.0,40.078,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Strontium,Sr,Metals & Alloys,linear,"{""c0"": 26.4, ""c1"": 0.003}",3,298.0,800.0,87.62,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Barium,Ba,Metals & Alloys,linear,"{""c0"": 28.1, ""c1"": 0.003}",3,298.0,900.0,137.33,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Hafnium,Hf,Metals & Alloys,linear,"{""c0"": 25.7, ""c1"": 0.002}",3,298.0,1500.0,178.49,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Rhenium,Re,Metals & Alloys,linear,"{""c0"": 25.5, ""c1"": 0.002}",3,298.0,1500.0,186.21,molar,"Anchor Cp(298K) from standard elemental thermodynamic tables (e.g. CRC Handbook); simple representative slope - not independently cross-checked this round, verify against NIST-JANAF/primary source before submission",
Nichrome (80Ni-20Cr),-,Metals & Alloys,linear,"{""c0"": 0.45, ""c1"": 0.00015}",3,298.0,800.0,,specific,"Typical room-T specific heat, MatWeb / ASM Metals Handbook Vol.2 - representative single value, mild linear rise assumed",Alloy - composition-dependent; treat as approximate.
Monel 400 (Ni-Cu),-,Metals & Alloys,linear,"{""c0"": 0.427, ""c1"": 0.00015}",3,298.0,800.0,,specific,"Typical room-T specific heat, MatWeb / ASM Metals Handbook Vol.2 - representative single value, mild linear rise assumed",Alloy - composition-dependent; treat as approximate.
Hastelloy C-276,-,Metals & Alloys,linear,"{""c0"": 0.427, ""c1"": 0.00015}",3,298.0,800.0,,specific,"Typical room-T specific heat, MatWeb / ASM Metals Handbook Vol.2 - representative single value, mild linear rise assumed",Alloy - composition-dependent; treat as approximate.
Invar (Fe-36Ni),-,Metals & Alloys,linear,"{""c0"": 0.515, ""c1"": 0.00015}",3,298.0,800.0,,specific,"Typical room-T specific heat, MatWeb / ASM Metals Handbook Vol.2 - representative single value, mild linear rise assumed",Alloy - composition-dependent; treat as approximate.
